bodytype,seats,kms,modelYear,fueltype,ownerNo,transmission,price,Insurance,engine_cc,oem,Gearbox,Mileage,DriveType,city
SUV,5.0,37000,2020,Petrol,1,Manual,825000,Third Party insurance,1197.0,Hyundai,5,17.52,FWD,chennai
SUV,7.0,20000,2022,Diesel,1,Automatic,2900000,Comprehensive,2198.0,Mahindra,6,18.9,AWD,chennai
Hatchback,5.0,53967,2016,Petrol,1,Manual,550000,Comprehensive,1197.0,Maruti,5,21.4,FWD,chennai
Hatchback,5.0,52700,2011,Petrol,1,Manual,299000,Comprehensive,1197.0,Hyundai,5,20.36,FWD,chennai
SUV,5.0,60000,2018,Petrol,1,Automatic,750000,Third Party insurance,1198.0,Tata,6,17.0,FWD,chennai
Hatchback,5.0,53967,2016,Petrol,1,Manual,550000,Comprehensive,1197.0,Maruti,5,21.4,FWD,chennai
Sedan,5.0,99225,2014,Petrol,2,Manual,375000,Comprehensive,1199.0,Honda,5,18.6,FWD,chennai
Sedan,5.0,60000,2011,Petrol,2,Manual,265000,Third Party insurance,1368.0,Fiat,5,16.0,FWD,chennai
Hatchback,5.0,48220,2020,Petrol,1,Automatic,808000,Third Party,1199.0,Honda,7,17.1,FWD,chennai
Hatchback,5.0,72024,2016,Petrol,1,Manual,542000,Third Party insurance,1199.0,Honda,5,18.7,FWD,chennai
Sedan,5.0,80000,2016,Petrol,1,Automatic,529000,Third Party insurance,1198.0,Honda,5,15.5,FWD,chennai
Hatchback,5.0,78735,2017,Petrol,1,Manual,684000,Third Party,1199.0,Volkswagen,5,16.2,FWD,chennai
SUV,5.0,72955,2018,Diesel,2,Manual,813000,Zero Dep,1498.0,Ford,5,23.0,FWD,chennai
Sedan,5.0,40000,2015,Petrol,1,Automatic,650000,Third Party insurance,1373.0,Maruti,4,19.12,FWD,chennai
SUV,5.0,14037,2021,Petrol,1,Manual,1802000,Comprehensive,1368.0,Jeep,6,14.3,4WD,chennai
Hatchback,5.0,29000,2019,Petrol,1,Manual,745000,Comprehensive,1197.0,Hyundai,5,18.6,FWD,chennai
Hatchback,5.0,69864,2017,Petrol,1,Manual,619000,Third Party insurance,1197.0,Maruti,5,21.4,FWD,chennai
