it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText,heading,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year of Manufacture,heading,top_features,Comfort & Convenience - Comfort,Interior - Interior,Exterior - Exterior,Safety - Safety,Entertainment & Communication - Entertainment,heading,Mileage,Engine,Max Power,Torque,Wheel Size,Seats,Engine and Transmission - Color,Engine and Transmission - Engine Type,Engine and Transmission - Displacement,Engine and Transmission - Max Power,Engine and Transmission - Max Torque,Engine and Transmission - No of Cylinder,Engine and Transmission - Values per Cylinder,Engine and Transmission - Value Configuration,Engine and Transmission - Fuel Suppy System,Engine and Transmission - Turbo Charger,Engine and Transmission - Super Charger,Dimensions & Capacity - Length,Dimensions & Capacity - Width,Dimensions & Capacity - Height,Dimensions & Capacity - Wheel Base,Dimensions & Capacity - Front Tread,Dimensions & Capacity - Rear Tread,Dimensions & Capacity - Kerb Weight,Miscellaneous - Gear Box,Miscellaneous - Drive Type,Miscellaneous - Seating Capacity,Miscellaneous - Steering Type,Miscellaneous - Turning Radius,Miscellaneous - Front Brake Type,Miscellaneous - Rear Brake Type,Miscellaneous - Top Speed,Miscellaneous - Acceleration,Miscellaneous - Tyre Type,Miscellaneous - Alloy Wheel Size,Miscellaneous - No Door Numbers,Miscellaneous - Cargo Volumn,Dimensions & Capacity - Gross Weight,Engine and Transmission - BoreX Stroke,Engine and Transmission - Compression Ratio,Dimensions & Capacity - Ground Clearance Unladen,city
0,Diesel,Sedan,"45,000",Automatic,1,1st Owner,BMW,BMW 3 Series,2018,197,320d Sport,₹ 25.95 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Jan 2013,Comprehensive,Diesel,5 Seats,"88,329 Kms",RJ14,First Owner,1461 cc,Manual,2013.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Brake Assist, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Rear Seat Centre Arm Rest, Cup Holders Front, Cup Holders Rear, Multifunction Steering Wheel, Rear ACVents","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Outside Temperature Display, Height Adjustable Driver Seat","Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Rear Window Defogger, Alloy Wheels, Power Antenna, Tinted Glass, Chrome Garnish, Smoke Headlamps","Anti Lock Braking System, Brake Assist, Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Crash Sensor, Ebd, Follow Me Home Headlamps, Anti Theft Device","Cd Player, Radio, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth",Specifications,21.64 kmpl,1461 CC,84.8bhp,200Nm,15,5,Silver,dCi Diesel Engine ,1461,84.8bhp@3750rpm,200Nm@2000rpm,4.0,4.0,DOHC,Direct Injection,Yes,No,4425mm,1695mm,1505mm,2600mm,1480mm,1485mm,1080kg,5 Speed,FWD,5,Power,5.3 metres,Ventilated Disc,Drum,160 Kmph,16 Seconds,"Tubeless,Radial",15,4,490-litres,,,,,jaipur
0,Petrol,Sedan,"1,22,117",Manual,2,2nd Owner,Maruti,Maruti Swift Dzire,2013,10244,VXI,₹ 4.21 Lakh,₹ 4.45 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Dec 2016,Comprehensive,Diesel,7 Seats,"1,26,000 Kms",RJ14,Second Owner,2982 cc,Automatic,2016.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Rear Seat Centre Arm Rest, Cup Holders Front, Cup Holders Rear, Seat Lumbar Support, Multifunction Steering Wheel, Cruise Control, Rear ACVents","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Leather Seats, Leather Steering Wheel, Glove Compartment, Digital Clock, Outside Temperature Display, Cigarette Lighter, Rear Folding Table, Driving Experience Control Eco, Height Adjustable Driver Seat","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Wiper, Rear Window Defogger, Alloy Wheels, Integrated Antenna, Rear Spoiler, Side Stepper, Outside Rear View Mirror Turn Indicators","Anti Lock Braking System, Brake Assist, Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Xenon Headlamps, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Vehicle Stability Control System, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Tyre Pressure Monitor, Automatic Head Lamps, Clutch Lock","Cd Player, Cd Changer, Radio, Speakers Front, Speakers Rear",Specifications,11.5 kmpl,2982 CC,169bhp,343Nm,17,7,Silver,4 Cylinders In-line,2982,169bhp@3600rpm,343Nm@1400-3400rpm,4.0,4.0,DOHC,Common-Rail type,Yes,No,4705mm,1840mm,1850mm,2750mm,1540mm,1540mm,1885kg,4 Speed ,2WD,7,Power,5.6 metres,Ventilated Disc,Leading-Trailing Drum,,,"Tubeless,Radial",17,5,,2505kg,,,,jaipur
0,Diesel,SUV,"1,08,632",Manual,1,1st Owner,Ford,Ford Ecosport,2019,6094,1.5 Diesel Titanium Plus BSIV,₹ 8.70 Lakh,₹ 8.87 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Jan 2010,Comprehensive,Petrol,5 Seats,"1,14,866 Kms",RJ10,Second Owner,1197 cc,Manual,2009.0,Features,"Power Steering, Low Fuel Warning Light, Air Conditioner, Heater, Fog Lights Rear, Power Adjustable Exterior Rear View Mirror, Child Safety Locks, Day Night Rear View Mirror","Power Steering, Low Fuel Warning Light, Accessory Power Outlet, Rear Seat Headrest, Cup Holders Front","Air Conditioner, Heater, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock","Fog Lights Rear, Power Adjustable Exterior Rear View Mirror, Manually Adjustable Exterior Rear View Mirror, Tinted Glass","Child Safety Locks, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Side Impact Beams, Adjustable Seats, Engine Immobilizer, Engine Check Warning",,Specifications,21.1 kmpl,1197 CC,85.80bhp,114Nm,14,5,White,K Series Petrol Engine ,1197,85.80bhp@6000rpm,114Nm@4000rpm,4.0,4.0,DOHC,MPFi,No,No,3715mm,1680mm,1620mm,2360mm,,,1100kg,5-Speed,FWD,5,Power,4.7m,Ventilated Disk,Drum,156km/hr,14.2,"Tubeless,Radial",14,5,232 litres,1520kg,,,,jaipur
0,Diesel,Sedan,"10,700",Automatic,1,1st Owner,BMW,BMW 5 Series,2017,5358,520d M Sport,₹ 45 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Oct 2021,Not Available,Petrol,5 Seats,"27,723 Kms",RJ05,First Owner,1197 cc,Manual,2021.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio","Power Steering, Power Windows Front, Power Windows Rear, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Cup Holders Front, Multifunction Steering Wheel, Navigation System, Smart Access Card Entry, Engine Start Stop Button, Voice Control, Adjustable Headrest, Power Boot","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Outside Temperature Display, Height Adjustable Driver Seat","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Alloy Wheels, Power Antenna, Rear Spoiler, Outside Rear View Mirror Turn Indicators, Chrome Grille, LEDHeadlights, LEDTaillights, Projector Headlamps","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Crash Sensor, Ebd, Anti Theft Device, Anti Pinch Power Windows, Speed Sensing Auto Door Lock, Isofix Child Seat Mounts, Pretensioners And Force Limiter Seatbelts, Speed Alert, No Of Airbags","Radio, Audio System Remote Control, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth, Touch Screen, Number Of Speaker, Apple Car Play, Android Auto",Specifications,21.01 kmpl,1197 CC,81.80bhp,113Nm,R16,5,Metallic Premium silver,1.2L VVT Engine,1197,81.80bhp@6000rpm,113Nm@4200rpm,4.0,4.0,DOHC,MPFI,No,No,3995mm,1745mm,1510mm,2520mm,1505mm,1515mm,865-890,5 Speed,FWD,5,Electric,4.9,Disc,Drum,,12.36 seconds,"Tubeless,Radial",R16,5,339-litres,1340kg,,,,jaipur
0,Diesel,SUV,"1,16,988",Manual,1,1st Owner,Ford,Ford Ecosport,2017,892,1.5 TDCi Titanium BSIV,₹ 6.77 Lakh,₹ 7.20 Lakh,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Jun 2009,Comprehensive,Petrol,5 Seats,"57,847 Kms",RJ14,First Owner,1794 cc,Automatic,2009.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Fuel Lid Opener, Low Fuel Warning Light, Vanity Mirror, Rear Seat Headrest, Rear Seat Centre Arm Rest, Height Adjustable Front Seat Belts, Cup Holders Front, Seat Lumbar Support, Multifunction Steering Wheel","Air Conditioner, Heater, Adjustable Steering, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Leather Steering Wheel, Glove Compartment, Digital Clock","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Alloy Wheels, Power Antenna, Tinted Glass, Outside Rear View Mirror Turn Indicators, Chrome Garnish","Anti Lock Braking System, Brake Assist, Centeral Locking, Power Door Locks, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer","Cd Player, Dvd Player, Radio, Audio System Remote Control, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth",Specifications,14.53 kmpl,1794 CC,138.1bhp,173Nm,15,5,White,DOHC Dual VVT-i Petrol En,1794,138.1bhp@6400rpm,173Nm@4000rpm,4.0,4.0,DOHC,EFI(Electronic Fuel Injection),No,No,4620mm,1776mm,1475mm,2700mm,1530mm,1535mm,1370,7 Speed,FWD,5,Power,5.3 metres,Ventilated Disc,Solid Disc,205km/hr,10.42Seconds,"Tubeless,Radial",15,4,475-litres,,,,,jaipur
0,Petrol,Sedan,"60,000",Automatic,1,1st Owner,Honda,Honda City,2014,1285,i VTEC CVT VX,₹ 7.25 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Feb 2021,Not Available,Petrol,5 Seats,"46,557 Kms",RJ45,First Owner,1497 cc,Manual,2021.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio","Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Seat Headrest, Rear Seat Centre Arm Rest, Height Adjustable Front Seat Belts, Cup Holders Rear, Seat Lumbar Support, Multifunction Steering Wheel, Cruise Control, Rear ACVents, Engine Start Stop Button, Glove Box Cooling, Voice Control, Steering Mounted Tripmeter, Tailgate Ajar, Gear Shift Indicator, Battery Saver, Lane Change Indicator, Adjustable Headrest, Power Boot, Hands Free Tailgate","Air Conditioner, Heater, Adjustable Steering, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Leather Steering Wheel, Glove Compartment, Digital Clock, Height Adjustable Driver Seat, Dual Tone Dashboard, Leather Wrap Gear Shift Selector","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rear Window Defogger, Alloy Wheels, Integrated Antenna, Sun Roof, Moon Roof, Outside Rear View Mirror Turn Indicators, Chrome Grille, Chrome Garnish, LEDDRLs, LEDTaillights, Cornering Headlamps, Projector Headlamps","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Driver Air Bag, Passenger Air Bag, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Seat Belt Warning, Door Ajar Warning, Adjustable Seats, Keyless Entry, Engine Immobilizer, Engine Check Warning, Tyre Pressure Monitor, Crash Sensor, Automatic Head Lamps, Ebd, Rear Camera, Speed Sensing Auto Door Lock, Isofix Child Seat Mounts, Pretensioners And Force Limiter Seatbelts, Impact Sensing Auto Door Lock, Speed Alert, No Of Airbags","Radio, Speakers Front, Speakers Rear, Integrated2Din Audio, Bluetooth, Touch Screen, Number Of Speaker, Apple Car Play, Android Auto, Wireless Phone Charging",Specifications,17.7 kmpl,1497 CC,113.18bhp,143.8Nm,16,5,Polar White,1.5 l MPi petrol,1497,113.18bhp@6300rpm,143.8Nm@4500rpm,4.0,4.0,DOHC with VIS,MPi,,,4440mm,1729mm,1475mm,2600,,,1180,6 Speed,,5,Electric,,Disc,Drum,,,"Tubeless, Radial",16,4,,,,,,jaipur
0,Diesel,Sedan,"1,20,000",Manual,1,1st Owner,Honda,Honda Amaze,2018,1151,VX i DTEC,₹ 6.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Oct 2016,Not Available,Petrol,5 Seats,"37,983 Kms",RJ14,First Owner,998 cc,Manual,2016.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Centeral Locking, Power Door Locks, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Cup Holders Front","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Dual Tone Dashboard","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Wheel Covers, Power Antenna, Chrome Grille, Chrome Garnish, Roof Rail","Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Anti Theft Device","Cd Player, Radio, Speakers Front, Speakers Rear, Usb Auxiliary Input, Number Of Speaker",Specifications,20.51 kmpl,998 CC,67.04bhp,90Nm,,5,White,K10B Petrol Engine,998,67.04bhp@6200rpm,90Nm@3500rpm,3.0,4.0,DOHC,,No,No,3599mm,1495mm,1700mm,2400mm,1295mm,1290mm,885kg,5 Speed,FWD,5,Power,4.6 metres,Ventilated Disc,Drum,152 kmph,18.6 Seconds,Tubeless Tyres,,5,180-liters,1350kg,69 x 72 mm,,,jaipur
0,Diesel,SUV,"92,000",Manual,1,1st Owner,Hyundai,Hyundai Creta,2016,1442,1.6 CRDi SX,₹ 9.80 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Jun 2010,Not Available,Petrol,5 Seats,"1,52,783 Kms",RJ21,Fourth Owner,796 cc,Manual,2010.0,Features,"Low Fuel Warning Light, Cup Holders Front, Air Conditioner, Heater, Manually Adjustable Exterior Rear View Mirror, Tinted Glass, Brake Assist, Passenger Side Rear View Mirror, Usb Auxiliary Input","Low Fuel Warning Light, Cup Holders Front","Air Conditioner, Heater, Electronic Multi Tripmeter, Glove Compartment","Manually Adjustable Exterior Rear View Mirror, Tinted Glass","Brake Assist, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Side Impact Beams, Front Impact Beams, Engine Check Warning","Usb Auxiliary Input, Bluetooth",Specifications,19.7 kmpl,796 CC,46.3bhp,62Nm,12,5,Silky silver,In-Line Engine,796,46.3bhp@6200rpm,62Nm@3000rpm,3.0,4.0,SOHC,MPFI,No,No,3495mm,1475mm,1460mm,2360mm,1295mm,1290mm,705kg,5 Speed,2WD,5,Manual,4.6m,Disc,Drum,137km/hr,17.7 seconds,"Tubeless,Radial",12,5,,1140kg,68.5 x 72.0 mm,,,jaipur
0,Diesel,MUV,"80,000",Manual,1,1st Owner,Mahindra,Mahindra Marazzo,2019,6571,M2 BSIV,₹ 11 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Nov 2012,Third Party insurance,Diesel,5 Seats,"69,856 Kms",RJ14,First Owner,2143 cc,Automatic,2012.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Rear Seat Centre Arm Rest, Height Adjustable Front Seat Belts, Cup Holders Front, Cup Holders Rear, Seat Lumbar Support, Multifunction Steering Wheel, Cruise Control, Rear ACVents","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Leather Seats, Leather Steering Wheel, Glove Compartment, Digital Clock, Outside Temperature Display, Cigarette Lighter","Adjustable Head Lights, Fog Lights Front, Fog Lights Rear, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rain Sensing Wiper, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Alloy Wheels, Integrated Antenna, Tinted Glass, Sun Roof, Moon Roof, Outside Rear View Mirror Turn Indicators","Anti Lock Braking System, Brake Assist, Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Driver Air Bag, Passenger Air Bag, Side Air Bag Front, Side Air Bag Rear, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Vehicle Stability Control System, Adjustable Seats, Keyless Entry, Engine Immobilizer, Engine Check Warning, Tyre Pressure Monitor, Crash Sensor","Cd Player, Cd Changer, Radio, Speakers Front, Speakers Rear",Specifications,14.84 kmpl,2143 CC,170bhp,400Nm,16,5,White,CDI Blue Efficiency Engin,2143,170bhp@3000-4200rpm,400Nm@1400-2800rpm,4.0,4.0,,Direct Injection,No,No,4591mm,1770mm,1447mm,2760mm,1549mm,1552mm,1610kg,7 Speed,RWD,5,Power,5.42 metres,Ventilated Disc,Solid Disc,228km/hr,8.5 seconds,Tubeless Radial Tyres,16,4,475-litres,2115kg,,16.2:2,,jaipur
0,Cng,Sedan,"90,000",Manual,2,2nd Owner,Toyota,Toyota Corolla Altis,2009,2165,1.8 G CNG,₹ 2.90 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,Apr 2013,Third Party insurance,Diesel,5 Seats,"60,091 Kms",RJ14,First Owner,1968 cc,Automatic,2013.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player","Power Steering, Power Windows Front, Power Windows Rear, Air Quality Control, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Trunk Light, Vanity Mirror, Rear Reading Lamp, Rear Seat Headrest, Rear Seat Centre Arm Rest, Height Adjustable Front Seat Belts, Cup Holders Front, Seat Lumbar Support, Multifunction Steering Wheel, Cruise Control, Rear ACVents, Steering Wheel Gearshift Paddles","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Tachometer, Electronic Multi Tripmeter, Leather Seats, Leather Steering Wheel, Glove Compartment, Digital Clock, Outside Temperature Display, Cigarette Lighter, Height Adjustable Driver Seat","Adjustable Head Lights, Fog Lights Front, Power Adjustable Exterior Rear View Mirror, Electric Folding Rear View Mirror, Rain Sensing Wiper, Rear Window Wiper, Rear Window Washer, Rear Window Defogger, Alloy Wheels, Power Antenna, Tinted Glass, Rear Spoiler, Sun Roof, Moon Roof, Outside Rear View Mirror Turn Indicators, Chrome Grille, Chrome Garnish, Smoke Headlamps, Roof Rail","Anti Lock Braking System, Brake Assist, Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Driver Air Bag, Passenger Air Bag, Side Air Bag Front, Side Air Bag Rear, Day Night Rear View Mirror, Passenger Side Rear View Mirror, Xenon Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Vehicle Stability Control System, Traction Control, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Engine Check Warning, Tyre Pressure Monitor, Crash Sensor, Automatic Head Lamps, Ebd, Follow Me Home Headlamps, Anti Theft Device","Cd Player, Radio, Audio System Remote Control, Speakers Front, Speakers Rear, Integrated2Din Audio, Usb Auxiliary Input, Bluetooth",Specifications,14.16 kmpl,1968 CC,174.3bhp,380Nm,17,5,Blue,TDI Quattro Engine ,1968,174.3bhp@4200rpm,380Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,Yes,No,4629mm,2089mm,1655mm,2807mm,1617mm,1614mm,1830kg,7 Speed,AWD,5,Power,5.8 metres,Ventilated Disc,Disc,200 Kmph,9.0 Seconds,"Tubeless,Radial",17,5,540-litres,2430kg,,,,jaipur
0,Diesel,Hatchback,"1,10,000",Manual,2,2nd Owner,Skoda,Skoda Fabia,2014,3030,1.2L Diesel Elegance,₹ 3.50 Lakh,,,,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",Car overview,May 2017,Not Available,Petrol,5 Seats,"50,501 Kms",RJ14,First Owner,1197 cc,Manual,2017.0,Features,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking","Power Steering, Power Windows Front, Remote Trunk Opener, Remote Fuel Lid Opener, Low Fuel Warning Light, Accessory Power Outlet, Rear Seat Headrest, Cup Holders Front","Air Conditioner, Heater, Adjustable Steering, Digital Odometer, Electronic Multi Tripmeter, Fabric Upholstery, Glove Compartment, Digital Clock, Cigarette Lighter","Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Power Antenna, Tinted Glass","Anti Lock Braking System, Centeral Locking, Power Door Locks, Child Safety Locks, Anti Theft Alarm, Driver Air Bag, Passenger Air Bag, Passenger Side Rear View Mirror, Halogen Headlamps, Rear Seat Belts, Seat Belt Warning, Door Ajar Warning, Side Impact Beams, Front Impact Beams, Adjustable Seats, Keyless Entry, Centrally Mounted Fuel Tank, Engine Immobilizer, Crash Sensor, Ebd, Anti Theft Device",,Specifications,20.4 kmpl,1197 CC,83.11bhp,113Nm,,5,Glistening Grey,K Series VVT Engine,1197,83.11bhp@6000rpm,113Nm@4200rpm,4.0,4.0,DOHC,MPFI,No,No,3840mm,1735mm,1530mm,2450mm,,,855Kg,5 Speed,FWD,5,Power,4.8 metres,Ventilated Disc,Drum,165 kmph,12.6 Seconds,Tubeless Tyres,,5,204-liters,1315kg,73 X 71.5 mm,11.0:1,,jaipur
